3  #sample 3-d input  
590  #number of points
-0.755481 0.028914 -0.654532
0.754638 0.028903 -0.655505
-0.752519 -0.054132 -0.656342
0.751165 -0.054552 -0.657857
-0.742013 -0.097132 -0.663312
0.740632 -0.097742 -0.664764
-0.761711 0.014434 -0.647757
0.761033 0.014368 -0.648554
-0.764901 0.164592 -0.622765
0.764354 0.165003 -0.623328
0.719744 0.279181 -0.635630
0.705843 0.305982 -0.638874
-0.507916 -0.279902 -0.814663
-0.338956 -0.400300 -0.851393
0.329919 -0.402265 -0.854012
0.500393 -0.282118 -0.818546
-0.549994 -0.040169 -0.834202
0.545888 -0.040507 -0.836879
-0.458299 0.215186 -0.862356
-0.323156 0.279692 -0.904070
0.319053 0.280272 -0.905347
0.454504 0.215849 -0.864196
-0.599463 0.176193 -0.780769
0.596485 0.176907 -0.782885
-0.994972 -0.076344 -0.064826
0.995075 -0.078083 -0.061072
-0.667243 0.482569 -0.567374
-0.598887 0.376101 -0.707024
-0.714193 0.250483 -0.653595
0.596033 0.377641 -0.708613
0.711724 0.251939 -0.655726
0.664317 0.485087 -0.568659
-0.769173 0.501599 -0.395943
0.766577 0.505119 -0.396504
-0.878240 0.436223 -0.195971
0.876253 0.440698 -0.194849
-0.977256 0.151430 -0.148457
-0.908588 0.413195 -0.061132
0.907001 0.417021 -0.058676
0.977287 0.153040 -0.146592
-0.697225 0.714833 -0.053759
-0.688367 0.717665 0.105394
0.680776 0.724308 0.109187
0.689467 0.722503 -0.051227
-0.463064 0.874246 0.145831
-0.300611 0.928499 0.217998
0.286596 0.932407 0.220180
0.452398 0.879368 0.148488
-0.469103 0.831100 -0.298690
-0.005235 0.969102 -0.246604
-0.005235 0.969102 -0.246604
0.462246 0.834960 -0.298616
-0.812458 0.521234 -0.261204
-0.857871 0.513829 -0.006174
0.854771 0.518997 -0.003073
0.808976 0.526789 -0.260867
-0.619015 0.636220 -0.460484
0.614502 0.639949 -0.461360
-0.386046 0.752882 -0.533045
-0.525804 0.580993 -0.621271
0.380554 0.755219 -0.533688
0.521683 0.583381 -0.622506
-0.336473 0.612240 -0.715506
-0.466689 0.466430 -0.751429
0.331954 0.613661 -0.716398
0.463055 0.467892 -0.752766
-0.002406 0.601462 -0.798898
-0.002048 0.338472 -0.940974
-0.002406 0.601462 -0.798898
-0.002048 0.338472 -0.940974
-0.003606 0.833204 -0.552955
-0.003606 0.833204 -0.552955
-0.002497 0.024084 -0.999707
-0.002497 0.024084 -0.999707
-0.351226 -0.877257 -0.327201
-0.513594 -0.857335 -0.034613
0.495599 -0.867968 -0.031852
0.333009 -0.884155 -0.327681
-0.009503 -0.898180 -0.439526
-0.009726 -0.959497 -0.281551
-0.009503 -0.898180 -0.439526
-0.009726 -0.959497 -0.281551
-0.004766 -0.445599 -0.895220
-0.004766 -0.445599 -0.895220
-0.003117 -0.186878 -0.982378
-0.003117 -0.186878 -0.982378
-0.901035 -0.384095 0.201512
-0.645753 -0.689224 0.328592
-0.589274 -0.671178 0.449752
-0.901035 -0.384095 0.201512
0.565901 -0.683002 0.461805
0.622332 -0.704526 0.341095
0.895577 -0.391920 0.210571
0.895577 -0.391920 0.210571
-0.587607 -0.733230 0.342187
-0.587607 -0.733230 0.342187
0.567981 -0.744393 0.351107
0.567981 -0.744393 0.351107
-0.566808 -0.777077 0.273641
-0.538620 -0.820117 0.193125
0.525432 -0.827633 0.197347
0.549591 -0.786993 0.280343
-0.420862 -0.901228 -0.103268
-0.433718 -0.897913 0.075111
0.424264 -0.902265 0.076928
0.406474 -0.907951 -0.102004
-0.214519 -0.964662 -0.153002
0.197929 -0.968273 -0.152551
-0.167541 -0.980049 -0.106929
-0.325706 -0.934206 -0.145513
-0.176239 -0.970755 -0.163019
-0.359356 -0.922019 -0.144032
0.349215 -0.926011 -0.143362
0.318247 -0.936854 -0.144994
0.165104 -0.972758 -0.162737
0.159245 -0.981466 -0.106611
-0.370937 -0.928512 -0.016448
0.363521 -0.931458 -0.015460
-0.319840 -0.946956 -0.031265
0.312571 -0.949405 -0.030481
-0.179569 -0.983745 0.000850
0.171586 -0.985168 0.001333
-0.004157 -0.996243 -0.086499
-0.004111 -0.999725 0.023080
-0.004111 -0.999725 0.023080
-0.004157 -0.996243 -0.086499
-0.005375 -0.981406 -0.191867
-0.005375 -0.981406 -0.191867
-0.008237 -0.976526 -0.215243
-0.008237 -0.976526 -0.215243
-0.985156 -0.130596 0.111413
0.984137 -0.132940 0.117482
-0.989414 0.125906 -0.072162
0.989456 0.127073 -0.069493
-0.909852 0.410270 0.062029
0.908153 0.413513 0.065302
-0.843133 0.521393 0.131440
0.839703 0.525883 0.135448
-0.644431 0.724192 0.245468
0.636752 0.729534 0.249654
-0.397573 0.875460 0.274783
0.387721 0.879084 0.277279
-0.216926 0.909327 0.355059
0.204329 0.911586 0.356735
-0.125326 0.822641 0.554577
0.105771 0.824254 0.556253
-0.011215 0.782046 0.623120
-0.011215 0.782046 0.623120
-0.511416 0.300886 0.804935
-0.466775 0.259531 0.845438
-0.411945 0.395035 0.821126
-0.476160 0.421197 0.771923
0.389261 0.398284 0.830569
0.443993 0.261992 0.856873
0.489276 0.304150 0.817375
0.454162 0.425398 0.782799
-0.398255 0.535180 0.744967
-0.440033 0.544755 0.713872
0.377406 0.539191 0.752886
0.419414 0.549433 0.722645
-0.418879 0.634852 0.649233
-0.475504 0.618599 0.625485
0.400895 0.639399 0.656089
0.457909 0.623833 0.633365
-0.587285 0.180675 0.788957
-0.542781 0.142130 0.827761
0.522520 0.143538 0.840458
0.567835 0.182745 0.802601
-0.792877 0.079370 0.604191
-0.781555 0.030459 0.623092
0.770536 0.030597 0.636662
0.782079 0.080287 0.617986
-0.869777 0.130998 0.475739
-0.870995 0.099334 0.481145
0.864478 0.100495 0.492522
0.862991 0.132705 0.487479
-0.900980 0.269588 0.339938
-0.914397 0.235207 0.329477
0.910562 0.238113 0.337903
0.896534 0.273093 0.348778
-0.874255 0.368498 0.316051
-0.877933 0.363057 0.312125
0.873518 0.367235 0.319538
0.869438 0.373021 0.323935
-0.831682 0.450819 0.324141
-0.833978 0.451178 0.317678
0.828588 0.456095 0.324684
0.825826 0.456083 0.331662
-0.684199 0.563164 0.463377
-0.676377 0.559608 0.478909
0.666571 0.564865 0.486426
0.674190 0.568767 0.471140
-0.592654 0.625394 0.507586
-0.575575 0.647519 0.499433
0.562939 0.653137 0.506469
0.579847 0.631183 0.515156
-0.520004 0.638484 0.567392
-0.493239 0.664608 0.561259
0.478312 0.669761 0.568011
0.505039 0.643866 0.574780
-0.325865 0.705679 0.629149
-0.442024 0.731781 0.518759
0.426777 0.736789 0.524408
0.306842 0.709579 0.634307
-0.545328 0.705060 0.453330
0.532722 0.710714 0.459448
-0.683378 0.616476 0.391090
0.673952 0.622454 0.397920
-0.849822 0.463695 0.250578
0.845279 0.468628 0.256693
-0.906208 0.354802 0.230005
0.903004 0.358794 0.236326
-0.942038 0.213293 0.258981
0.939383 0.215864 0.266388
-0.912286 0.028634 0.408552
0.907195 0.028747 0.419728
-0.813651 -0.069480 0.577187
0.803244 -0.071002 0.591403
-0.536897 0.114084 0.835898
0.514026 0.115287 0.849992
-0.440674 0.236711 0.865895
0.415285 0.238984 0.877738
-0.295002 0.578932 0.760140
0.271402 0.582297 0.766336
-0.346554 0.404783 0.846198
0.320600 0.407809 0.854931
-0.004946 -0.993541 0.113367
-0.005564 -0.985590 0.169060
-0.005510 -0.971078 0.238699
-0.120289 -0.958162 0.259725
0.108993 -0.959327 0.260407
-0.110965 -0.972264 0.205885
0.100869 -0.973252 0.206411
-0.055688 -0.984772 0.164689
0.046088 -0.985231 0.164914
-0.004764 -0.986747 0.162198
-0.071311 -0.983585 0.165757
-0.004652 -0.987719 0.156172
0.061986 -0.984168 0.166045
-0.134800 -0.970937 0.197761
0.125033 -0.972117 0.198383
-0.142390 -0.949564 0.279380
0.130813 -0.950975 0.280239
-0.005541 -0.965947 0.258682
-0.385839 -0.661153 0.643433
-0.302846 -0.347686 0.887355
0.278584 -0.349933 0.894392
0.363312 -0.666677 0.650804
-0.379536 -0.738259 0.557607
-0.566808 -0.777077 0.273641
0.549591 -0.786993 0.280343
0.359634 -0.743695 0.563543
-0.365485 -0.830447 0.420450
-0.538620 -0.820117 0.193125
0.525432 -0.827633 0.197347
0.349749 -0.835209 0.424384
-0.144665 -0.852434 0.502422
-0.196651 -0.724660 0.660452
0.173533 -0.727417 0.663891
0.126704 -0.854301 0.504099
-0.295664 -0.622508 0.724615
0.272007 -0.626353 0.730544
-0.272328 -0.501886 0.820944
0.244889 -0.505093 0.827593
-0.015158 -0.502754 0.864297
-0.018085 -0.011279 0.999773
-0.174965 -0.622705 0.762644
-0.011030 -0.681728 0.731523
-0.011876 -0.540778 0.841081
-0.236127 -0.563216 0.791853
0.152490 -0.624691 0.765838
0.214565 -0.565631 0.796256
-0.224325 -0.461698 0.858203
-0.121158 -0.454412 0.882514
0.095561 -0.455481 0.885102
0.200041 -0.463783 0.863069
-0.293078 -0.581132 0.759204
-0.207098 -0.670017 0.712873
0.271236 -0.584398 0.764794
0.184897 -0.672592 0.716542
-0.276583 -0.436580 0.856095
0.250919 -0.439240 0.862617
-0.111385 -0.433215 0.894381
0.083333 -0.434220 0.896944
-0.012811 -0.541125 0.840845
-0.010893 -0.736915 0.675898
-0.011348 -0.778249 0.627854
-0.012811 -0.541125 0.840845
-0.013846 -0.597826 0.801506
-0.015158 -0.502754 0.864297
-0.013846 -0.597826 0.801506
-0.012811 -0.541125 0.840845
-0.015158 -0.502754 0.864297
-0.157374 -0.941987 0.296471
-0.006340 -0.951585 0.307319
0.145288 -0.943606 0.297487
-0.009220 -0.860567 0.509253
-0.315501 -0.923115 0.219811
-0.296286 -0.944156 0.144165
0.287259 -0.946749 0.145426
0.304843 -0.926268 0.221582
-0.241989 -0.966487 0.085700
0.233751 -0.968438 0.086534
-0.170575 -0.981631 0.085472
0.162112 -0.983013 0.086054
-0.004327 -0.995697 0.092570
-0.014864 0.419947 0.907427
-0.011239 0.625236 0.780354
-0.192497 0.690702 0.697048
0.173920 0.692688 0.699954
-0.844942 -0.198505 0.496657
0.836091 -0.202309 0.509924
-0.969768 0.014540 0.243595
0.967779 0.014424 0.251386
-0.966861 0.211046 0.143665
0.965549 0.213318 0.149035
-0.899268 0.400889 0.174944
0.896678 0.404571 0.179698
-0.849253 0.456346 0.265553
0.845420 0.460323 0.270866
-0.601655 0.684872 0.411050
0.592612 0.689635 0.416191
-0.420063 0.791300 0.444287
0.409225 0.794955 0.447864
-0.293491 0.809102 0.509134
0.280562 0.811877 0.511996
-0.011215 0.782046 0.623120
-0.125326 0.822641 0.554577
0.105771 0.824254 0.556253
-0.216926 0.909327 0.355059
0.204329 0.911586 0.356735
-0.397573 0.875460 0.274783
0.387721 0.879084 0.277279
-0.644431 0.724192 0.245468
0.636752 0.729534 0.249654
-0.843133 0.521393 0.131440
0.839703 0.525883 0.135448
-0.909852 0.410270 0.062029
0.908153 0.413513 0.065302
-0.989414 0.125906 -0.072162
0.989456 0.127073 -0.069493
-0.985156 -0.130596 0.111413
0.984137 -0.132940 0.117482
-0.433718 -0.897913 0.075111
0.424264 -0.902265 0.076928
-0.370937 -0.928512 -0.016448
0.363521 -0.931458 -0.015460
-0.319840 -0.946956 -0.031265
0.312571 -0.949405 -0.030481
-0.179569 -0.983745 0.000850
0.171586 -0.985168 0.001333
-0.004111 -0.999725 0.023080
-0.800541 0.331628 0.499156
-0.799454 0.212323 0.561954
0.790709 0.214877 0.573243
0.792695 0.335512 0.508985
-0.715145 0.171203 0.677685
0.702504 0.173186 0.690286
-0.593571 0.247372 0.765820
0.576686 0.249981 0.777781
-0.519018 0.407539 0.751354
0.500901 0.411368 0.761495
-0.528990 0.533633 0.659852
0.513239 0.538319 0.668430
-0.621683 0.545783 0.561811
0.609321 0.550993 0.570207
-0.731694 0.466941 0.496579
0.722478 0.471901 0.505306
-0.894844 0.310249 0.320936
-0.778381 0.532436 0.332617
0.771307 0.538239 0.339684
0.890492 0.314141 0.329149
-0.945428 0.295621 0.137022
-0.805601 0.573136 0.150074
0.800045 0.579525 0.155172
0.943318 0.299490 0.143026
-0.584534 0.769349 0.257723
-0.595266 0.679433 0.428986
0.583247 0.685586 0.435654
0.572803 0.776416 0.262822
-0.415562 0.683656 0.599935
0.396894 0.688775 0.606683
-0.341126 0.820665 0.458412
0.320021 0.826282 0.463513
-0.254033 0.579110 0.774661
-0.362763 0.478599 0.799591
0.337357 0.482392 0.808386
0.220077 0.583110 0.782016
-0.536897 0.114084 0.835898
0.514026 0.115287 0.849992
-0.537547 0.011616 0.843154
0.506743 0.011477 0.862021
-0.778905 -0.037040 0.626047
-0.860148 -0.175133 0.479034
0.766942 -0.037985 0.640591
0.850387 -0.179266 0.494678
-0.903622 0.084313 0.419951
0.898385 0.085288 0.430847
-0.974098 0.013901 0.225698
0.972023 0.013765 0.234484
